Category,Manufacturer,Part Number,Component,Qty,Approx Price (INR),Supplier,Notes
Main Controller,Espressif,ESP32-P4-DevKit,ESP32-P4 Development Board,1,5200,Mouser/Waveshare,Main processor
Display,Waveshare,4.3-inch IPS Capacitive Touch,4.3-inch 800x480 LCD,1,3000,Waveshare,Capacitive touch
Audio,TDK InvenSense,INMP441,I2S MEMS Microphone,1,250,Robu,Voice input
Audio,Analog Devices,MAX98357A,I2S Audio Amplifier,1,220,Robu,Speaker amplifier
Audio,Visaton,FRS7 4Ω 10W,Premium Full-Range Speaker,1,950,Mouser,Voice output
Storage,Kingston,Canvas Select Plus 32GB,microSD Card,1,420,Amazon,Voice cache and storage
Storage,Generic,SPI SD Module,MicroSD Interface Module,1,150,Robu,SPI interface
Lighting,WorldSemi,WS2812B 16 Ring,RGB LED Ring,1,420,Amazon,Status LEDs
Power,Samsung,INR21700-50E,5000mAh Li-ion Battery,1,850,Robu,Portable power
Power,Texas Instruments,BQ24074,USB-C Battery Charger,1,620,Mouser,Charging circuit
Power,Texas Instruments,TPS63070,Buck-Boost Regulator,1,780,Mouser,Stable power
Input,Tontek,TTP223,Capacitive Touch Sensor,1,70,Robu,Wake button
Sensor,Bosch,BME280,Temperature/Humidity/Pressure Sensor,1,380,Robu,Environmental sensing
Sensor,ROHM,BH1750,Ambient Light Sensor,1,180,Robu,Automatic brightness
Camera,Arducam,OV5640,5MP Camera Module,1,1850,Arducam,Vision features
Audio,XMOS,XVF3510,Far-field Microphone Array,1,4800,Mouser,Premium voice pickup
Connectivity,NXP,PN7150,NFC Module,1,950,Mouser,NFC support
Charging,Generic,Qi 15W,Wireless Charging Module,1,900,Amazon,Wireless charging
Cooling,Sunon,MF25101V2,5V Blower Fan,1,650,Mouser,Active cooling
Mechanical,JLCPCB,4-layer PCB,Custom PCB,1,2200,JLCPCB,Prototype PCB
Mechanical,Custom,3D Printed Enclosure,PETG/ABS Case,1,2500,Local,Custom enclosure
Hardware,JST,PH2.0 Kit,Connector Kit,1,450,Amazon,Power and signal
Hardware,Generic,M2 Screw Kit,Screws and Standoffs,1,300,Amazon,Assembly
Hardware,Amphenol,USB-C Connector,USB-C Panel Connector,1,350,Mouser,Charging/data
Hardware,Omron,B3F Push Button,Tactile Button,2,120,Mouser,Reset/User input
Accessories,3M,VHB Tape,Mounting Tape,1,250,Amazon,Assembly
Accessories,Heat-Set Inserts,M2 Brass Inserts,Threaded Inserts,1,220,Amazon,Case assembly
Accessories,Silicone,Rubber Feet,Anti-slip Feet,4,100,Amazon,Desktop use
,,,,total=,30000rs/-,,
